n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri
tortilla,tortilla,light food,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
tortillachip,tortilla,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
tortillas,tortilla,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
tostadas,tostadas,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
tostado,tostado,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
tostilocos,tostilocos,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
tostines,tostines,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
tostitos,tostitos,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
totis,totis,salty snacks,light food,light food,salty snacks,,totis,totis,totis,,,,,,,,,,,portable,portable,rte,rte,,,,,
totopos,totopos,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
tots,,,,,,,,,,,,,,,,,,,,,,,,,,tots,juices,non alcoholic
town,,,,,,,,,,,,,town,outside,,,,,,,,,,,,,,
toxins,,,,,,,,,,,,,,,,,,,,toxins,diet,,,,,,,
trail mix bar,trail mix bar,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
trail sabor marroquino,,,,,,,trail sabor marroquino,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
trail sabor mexicano,,,,,,,trail sabor mexicano,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
travel,,,,,,,,,,,,,,,,,,,,,,,,travelling,leisure,,,
travelling,,,,,,,,,,,,,,,,,,,,,,,,travelling,leisure,,,
tray,,,,,,,,,,,,,,,,,,,,,,tray,packaging,,,,,
trays,,,,,,,,,,,,,,,,,,,,,,tray,packaging,,,,,
treat,,,,,,,,,,,,,,,,,,,,,,treat,treat,,,,,
treat or reward,,,,,,,,,,,,,,,,,,,,,,treat,treat,,,,,
treat/reward,,,,,,,,,,,,,,,,,,,,,,treat,treat,,,,,
trekking,,,,,,,,,,,,,,,,,,,,,,,,trekking,physical activity,,,
trust,,,,,,,,,,trust,satisfied,feel good,,,,,,,,,,,,,,,,
tuba,,,,,,,,,,,,,,,,,,,,,,,,,,tuba,cocktails,alcoholic
tuesday,,,,,,,,,,,,,,,,,,weekday,weekday,,,,,,,,,
tuna,tuna,meat,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
turkey,turkey,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
turkey breast,turkey breast,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
tyrells,tyrells,salty snacks,light food,light food,salty snacks,,tyrells,tyrells,tyrells,,,,,,,,,,,portable,portable,rte,rte,,,,,
tzatziki,tzatziki,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
unaccompanied,,,,,,,,,,,,,,,unaccompanied,alone,alone,,,,,,,,,,,
uncle,,,,,,,,,,,,,,,uncle,family,small group,,,,,,,,,,,
unique,,,,,,,,,,,,,,,,,,,,,,unique,unique,,,,,
uniqueness,,,,,,,,,,,,,,,,,,,,,,unique,unique,,,,,
university,,,,,,,,,,,,,university,school,,,,,,,,,,,,,,
unsalted,,,,,,,,,,,,,,,,,,,,unsalted,textures,,,,,,,
unsweetened,,,,,,,,,,,,,,,,,,,,unsweetened,textures,,,,,,,
uplift,,,,,,,,,,uplift,rejuvenated,positive,,,,,,,,,,,,,,,,
uplifting,,,,,,,,,,uplifting,rejuvenated,positive,,,,,,,,,,,,,,,,
uva passa,uva passa,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
vanilla,vanilla,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
variety,,,,,,,,,,,,,,,,,,,,,,variety,variety,,,,,
variety of tastes,,,,,,,,,,,,,,,,,,,,,,variety of tastes,taste,,,,,
vegan,,,,,,,,,,,,,,,,,,,,vegan,diet,,,,,,,
vegenaise,vegenaise,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable,vegetable,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
vegetarian,,,,,,,,,,,,,,,,,,,,vegetarian,diet,,,,,,,
veggie,veggies,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
veggies,veggies,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
vegitarian,,,,,,,,,,,,,,,,,,,,vegetarian,diet,,,,,,,
victory,,,,,,,,,,victory,satisfied,feel good,,,,,,,,,,,,,,,,
visit,,,,,,,,,,,,,,,,,,,,,,,,visiting,leisure,,,
visiting,,,,,,,,,,,,,,,,,,,,,,,,visiting,leisure,,,
vital,,,,,,,,,,,,,,,,,,,,vital,nutritional,,,,,,,
vitamin,,,,,,,,,,,,,,,,,,,,vitamins,nutritional,,,,,,,
vitamin water,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin water,water,non alcoholic
vitamins,,,,,,,,,,,,,,,,,,,,vitamins,nutritional,,,,,,,
vodka,,,,,,,,,,,,,,,,,,,,,,,,,,vodka,alcohol,alcoholic
wafer,wafers,snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
wafers,wafers,snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
waffle,waffles,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
waffles,waffles,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
wake me up,,,,,,,,,,,,,,,,,,,,,,wake up,wake up,,,,,
wake up,,,,,,,,,,,,,,,,,,,,,,wake up,wake up,,,,,
wake up get ready,,,,,,,,,,,,,,,,,,,,,,wake up,wake up,,,,,
wake up warm up,,,,,,,,,,,,,,,,,,,,,,wake up,wake up,,,,,
walking,,,,,,,,,,,,,,,,,,,,,,,,walking,physical activity,,,
walnut,walnut,nuts/seeds,wholesome snacks,light food,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
walnut bar,walnut bar,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
walnuts,walnuts,nuts/seeds,wholesome snacks,light food,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
wanted variety,,,,,,,,,,,,,,,,,,,,,,wanted variety,wanted variety,,,,,
warming,,,,,,,,,,,,,,,,,,,,,,warming,warming,,,,,
warming and waking,,,,,,,,,,,,,,,,,,,,,,warming,warming,,,,,
warms me up,,,,,,,,,,,,,,,,,,,,,,warms me up,warms me up,,,,,
washing,,,,,,,,,,,,,,,,,,,,,,,,washing,day to day activities,,,
watching,,,,,,,,,,,,,,,,,,,,,,,,watching,leisure,,,
water,,,,,,,,,,,,,,,,,,,,,,,,,,water,water,non alcoholic
wedding,,,,,,,,,,,,,wedding,outside,,,,,,,,,,,,,,
wedges,wedges,snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
wednesday,,,,,,,,,,,,,,,,,,weekday,weekday,,,,,,,,,
weight loss,,,,,,,,,,,,,,,,,,,,,,weight loss,weight management,,,,,
wheat,wheat,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
whipped cream,whipped cream,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
whiskey,,,,,,,,,,,,,,,,,,,,,,,,,,whiskey,alcohol,alcoholic
wholegrain,wholegrain,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
wife,,,,,,,,,,,,,,,wife,romantic partner,pair,,,,,,,,,,,
wild turkey,wild turkey,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
wine,,,,,,,,,,,,,,,,,,,,,,,,,,wine,alcohol,alcoholic
wine and dine,,,,,,,,,,,,,,,,,,,,,,,,wine and dine,food related,,,
wine n dine,,,,,,,,,,,,,,,,,,,,,,,,wine and dine,food related,,,
wine tasting,,,,,,,,,,,,,,,,,,,,,,,,wine tasting,food related,,,
wish,,,,,,,,,,wish,affection/longing,positive,,,,,,,,,,,,,,,,
wishing,,,,,,,,,,wishing,affection/longing,positive,,,,,,,,,,,,,,,,
witches brew,,,,,,,,,,,,,,,,,,,,,,,,,,witches brew,cocktails,alcoholic
wonderful,,,,,,,,,,wonderful,superlative,positive,,,,,,,,,,,,,,,,
wondering,,,,,,,,,,wondering,anxiety/curiosity,positive,,,,,,,,,,,,,,,,
work,,,,,,,,,,,,,work,work,,,,,,,,,,,,,,
work space,,,,,,,,,,,,,work,work,,,,,,,,,,,,,,
working,,,,,,,,,,,,,,,,,,,,,,,,working,day to day activities,,,
workout,,,,,,,,,,,,,,,,,,,,,,,,workout,physical activity,,,
workplace,,,,,,,,,,,,,work,work,,,,,,,,,,,,,,
workspace,,,,,,,,,,,,,work,work,,,,,,,,,,,,,,
worm punch,,,,,,,,,,,,,,,,,,,,,,,,,,worm punch,mocktails,non alcoholic
worry,,,,,,,,,,worry,dislike,negative,,,,,,,,,,,,,,,,
wrap,wrap,street food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
wrapper,,,,,,,,,,,,,,,,,,,,,,wrapper,packaging,,,,,
wrappers,,,,,,,,,,,,,,,,,,,,,,wrapper,packaging,,,,,
wraps,wraps,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
xiboquinha,,,,,,,,,,,,,,,,,,,,,,,,,,xiboquinha,cocktails,alcoholic
yam,yam,veggies,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
yoghurt,yogurt,snacks,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
yogurt,yogurt,snacks,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
yoki,yoki,salty snacks,light food,light food,salty snacks,,yoki,yoki,yoki,,,,,,,,,,,portable,portable,rte,rte,,,,,
yokitos,yokitos,salty snacks,light food,light food,salty snacks,,yokitos,yokitos,yoki,,,,,,,,,,,portable,portable,rte,rte,,,,,
you and i,,,,,,,,,,,,,,,you and i,pair,pair,,,,,,,,,,,
you and me,,,,,,,,,,,,,,,you and i,pair,pair,,,,,,,,,,,
yum,,,,,,,,,,,,,,,,,,,,,,yum,taste,,,,,
yummy,,,,,,,,,,,,,,,,,,,,,,yum,taste,,,,,
zero calorie,,,,,,,,,,,,,,,,,,,,low calorie,diet,,,,,,,
zerocalorie,,,,,,,,,,,,,,,,,,,,low calorie,diet,,,,,,,
zoo,,,,,,,,,,,,,zoo,outside,,,,,,,,,,,,,,
zucaritas,,,,,,,zucaritas,zucaritas,kelloggs,,,,,,,,,,,,,,,,,,,
zucaritas bar,,,,,,,zucaritas bar,zucaritas,kelloggs,,,,,,,,,,,,,,,,,,,
zucaritas nutri crisp,,,,,,,zucaritas nutri crisp,zucaritas,kelloggs,,,,,,,,,,,,,,,,,,,
zucaritas power balls,,,,,,,zucaritas power balls,zucaritas,kelloggs,,,,,,,,,,,,,,,,,,,
zucchini,zucchini,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
energize,,,,,,,,,,,,,,,,,,,,,,energize,energize,,,,,
energy,,,,,,,,,,,,,,,,,,,,,,energize,energize,,,,,
energy & performance,,,,,,,,,,,,,,,,,,,,,,energy & performance,energize,,,,,
energy / performance,,,,,,,,,,,,,,,,,,,,,,energy / performance,energize,,,,,
energy and performance,,,,,,,,,,,,,,,,,,,,,,energy and performance,energize,,,,,
energy bars,energy bars,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
energy boost,,,,,,,,,,,,,,,,,,,,,,energy boost,energize,,,,,
energy boost vs nutritious replenish,,,,,,,,,,,,,,,,,,,,,,energy boost vs nutritious replenish,energize,,,,,
energy drink,,,,,,,,,,,,,,,,,,,,,,,,,,energy drink,energy drink,non alcoholic
energy providing,,,,,,,,,,,,,,,,,,,,,,energy providing,energize,,,,,
enhance,,,,,,,,,,,,,,,,,,,,,,enhance,enhance,,,,,
enhance performance,,,,,,,,,,,,,,,,,,,,,,enhance performance,enhance performance,,,,,
enjoy,,,,,,,,,,enjoy,happy,feel good,,,,,,,,,,,,,,,,
enjoyable graze,,,,,,,,,,,,,,,,,,,,,,enjoyable graze,enjoyable graze,,,,,
enjoying,,,,,,,,,,enjoying,happy,feel good,,,,,,,,,,,,,,,,
enjoyment,,,,,,,,,,enjoyment,happy,feel good,,,,,,,,,,,,,,,,
enmoladas,enmoladas,traditional dishes,heavy meal,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
ensalada,ensalada,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
envy,,,,,,,,,,envy,envy,positive,,,,,,,,,,,,,,,,
eqlibri,eqlibri,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
espetinho,espetinho,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
espresso,,,,,,,,,,,,,,,,,,,,caffeine,properties,refreshing,refreshing,,,espresso,coffee,non alcoholic
esquites,esquites,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,refreshing,refreshing,,,,,
evenin,,,,,,,,,,,,,,,,,,evening,evening,,,,,,,,,
evening,,,,,,,,,,,,,,,,,,evening,evening,,,,,,,,,
event,,,,,,,,,,,,,events,outside,,,,,,,,,,,,,,
events,,,,,,,,,,,,,events,outside,,,,,,,,,,,,,,
everyday consumption,,,,,,,,,,,,,,,,,,,,,,everyday consumption,routine,,,,,
excited,,,,,,,,,,excited,happy,feel good,,,,,,,,,,,,,,,,
excitement,,,,,,,,,,excitement,happy,feel good,,,,,,,,,,,,,,,,
exhausted,,,,,,,,,,exhausted,hectic,negative,,,,,,,,,,,,,,,,
exotic,,,,,,,,,,,,,,,,,,,,exotic,properties,,,,,,,
expensive,,,,,,,,,,,,,,,,,,,,,,expensive,cost,,,,,
extrato de soja,,,,,,,extrato de soja,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
ezekiel,ezekiel,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,resfreshing,refreshing,,,,,
faith,,,,,,,,,,faith,laid back,feel good,,,,,,,,,,,,,,,,
fajitas,fajitas,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
family,,,,,,,,,,,,,,,family,family,small group,,,,,,,,,,,
family event,,,,,,,,,,,,,,,family event,family,large group,,,,,,,,,,,
fandangos,fandangos,salty snacks,light food,light food,salty snacks,,fandangos,fandangos,fandangos,,,,,,,,,,,,,,,,,,,
fanta,,,,,,,,,,,,,,,,,,,,,,,,,,fanta,soda,non alcoholic
fantasy,,,,,,,,,,fantasy,happy,feel good,,,,,,,,,,,,,,,,
farelo de aveia,,,,,,,farelo de aveia,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
farewell,,,,,,,,,,farewell,farewell,farewell,,,,,,,,,,,,,,,,
farinha de chia,,,,,,,farinha de chia,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
farinha de linhaca dourada,,,,,,,farinha de linhaca dourada,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
farinha de linhaca marrom,,,,,,,farinha de linhaca marrom,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
farinha de milho,farinha de milho,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
farinha de trigo,,,,,,,farinha de trigo,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
farinha de trigo integral organica,,,,,,,farinha de trigo integral organica,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
fashion show,,,,,,,,,,,,,fashion show,outside,,,,,,,,,,,,,,
fast food,fast food,street food,street food,,,,,,,,,,,,,,,,,,,,,,,,,
fastfood,fastfood,street food,street food,,,,,,,,,,,,,,,,,,,,,,,,,
fat,,,,,,,,,,,,,,,,,,,,fatty,properties,,,,,,,
father,,,,,,,,,,,,,,,father,family,small group,,,,,,,,,,,
fats,,,,,,,,,,,,,,,,,,,,fatty,properties,,,,,,,
fatty,,,,,,,,,,,,,,,,,,,,fatty,properties,,,,,,,
favorite,,,,,,,,,,favorite,affection/longing,positive,,,,,,,,,,favorite,favorite,,,,,
favourite,,,,,,,,,,favorite,affection/longing,positive,,,,,,,,,,favorite,favorite,,,,,
fear,,,,,,,,,,fear,dislike,negative,,,,,,,,,,,,,,,,
feasting,,,,,,,,,,,,,feast,coffee shops/bakery/eatery,,,,,,,,,,feast,food related,,,
feast,,,,,,,,,,,,,feast,coffee shops/bakery/eatery,,,,,,,,,,feast,food related,,,
feeling better,,,,,,,,,,feeling better,satisfied,feel good,,,,,,,,,,,,,,,,
feeling good,,,,,,,,,,feeling good,satisfied,feel good,,,,,,,,,,,,,,,,
feijoada,feijoada,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
feira,feira,traditional dishes,heavy meal,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
feta,feta,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
fiber,,,,,,,,,,,,,,,,,,,,fibrous,nutritional,,,,,,,
fiber flakes,,,,,,,fiber flakes,linha diet,kobber,,,,,,,,,,,,,,,,,,,
fibers,,,,,,,,,,,,,,,,,,,,fibrous,nutritional,,,,,,,
fibra de trigo,,,,,,,fibra de trigo,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
fibre,,,,,,,,,,,,,,,,,,,,fibrous,nutritional,,,,,,,
fiesta,,,,,,,,,,,,,fiesta,coffee shops/bakery/eatery,,,,,,,,,,,,,,
fig bars,fig bars,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
fight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill me till my next meal,,,,,,,,,,,,,,,,,,,,,,fills me until my next meal,fills me until my next meal,,,,,
fill me up,,,,,,,,,,,,,,,,,,,,,,fill me up,meal replacement,,,,,
filled,,,,,,,,,,filled,satisfied,feel good,,,,,,,,filled,properties,filling,filling,,,,,
filling,,,,,,,,,,filling,satisfied,feel good,,,,,,,,,,filling,filling,,,,,
filling not heavy,,,,,,,,,,,,,,,,,,,,,,filling not heavy,filling not heavy,,,,,
filling or satiating,,,,,,,,,,,,,,,,,,,,,,filling or satiating,satisfaction,,,,,
fills me until my next meal,,,,,,,,,,,,,,,,,,,,,,fills me until my next meal,fills me until my next meal,,,,,
fills me up,,,,,,,,,,,,,,,,,,,,,,fills me up,fills me up,,,,,
film,,,,,,,,,,,,,film,outside,,,,,,,,,,,,,,
film festival,,,,,,,,,,,,,events,outside,,,,,,,,,,,,,,
fish,fish,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
fishing,,,,,,,,,,,,,,,,,,,,,,,,fishing,leisure,,,
fizz,,,,,,,,,,,,,,,,,,,,fizz,properties,,,,,,,
flan,flan,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
flat,,,,,,,,,,,,,flat,home,,,,,,,,,,,,,,
flatbread,flat bread,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
flat bread,flat bread,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
flautas,flautas,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
flavor,,,,,,,,,,,,,,,,,,,,flavored,flavors,,,,,,,
flavored,,,,,,,,,,,,,,,,,,,,flavored,flavors,,,,,,,
flavored water,,,,,,,,,,,,,,,,,,,,,,,,,,flavored water,water,non alcoholic
flavorful treat,,,,,,,,,,,,,,,,,,,,,,flavorful treat,treat,,,,,
flavors,,,,,,,,,,,,,,,,,,,,flavored,flavors,,,,,,,
flavour,,,,,,,,,,,,,,,,,,,,flavored,flavors,,,,,,,
flavoured,,,,,,,,,,,,,,,,,,,,flavored,flavors,,,,,,,
flavoured drinks,,,,,,,,,,,,,,,,,,,,,,,,,,flavoured drinks,flavoured drinks,non alcoholic
flavours,,,,,,,,,,,,,,,,,,,,flavored,flavors,,,,,,,
flax,flax,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
flax seeds,flax seeds,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
flaxseed,flax seeds,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
flexible packaging,,,,,,,,,,,,,,,,,,,,,,flexible packaging,packaging,,,,,
floco de aveia,floco de aveia,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
flocos de milho,flocos de milho,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
flour,flour,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
focus cool down,,,,,,,,,,,,,,,,,,,,,,focus cool down,focus cool down,,,,,
fofura,fofura,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
folhados,folhados,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
folks,,,,,,,,,,,,,,,folks,friends,large group,,,,,,,,,,,
food accompaniment,,,,,,,,,,,,,,,,,,,,,,food accompaniment,food accompaniment,,,,,
food court,,,,,,,,,,,,,food court,coffee shops/bakery/eatery,,,,,,,,,,,,,,
food truck,,,,,,,,,,,,,food truck,on the way,,,,,,,,,,,,,,
football,,,,,,,,,,,,,,,,,,,,,,,,football,sports,,,
for family,,,,,,,,,,,,,,,,,,,,,,for family,social,,,,,
for health vs tasty,,,,,,,,,,,,,,,,,,,,,,for health vs tasty,for health vs tasty,,,,,
fortified,,,,,,,,,,,,,,,,,,,,fortified,ingredients,,,,,,,
foster,,,,,,,,,,,,,,,,,,,,,,,,,,foster,beer,alcoholic
frappe,,,,,,,,,,,,,,,,,,,,caffeine,properties,refreshing,refreshing,,,,,
frappuccino,,,,,,,,,,,,,,,,,,,,caffeine,properties,refreshing,refreshing,,,,,
free food,,,,,,,,,,,,,,,,,,,,,,free food,cost,,,,,
french bread,french bread,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
french bread rolls,french bread rolls,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
french fries,french fries,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
french roll,french roll,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,resfreshing,refreshing,,,,,
french toast,french toast,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
frenchfrie,frenchfries,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
frenchfries,frenchfries,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
fresca,,,,,,,,,,,,,,,,,,,,,,,,,,fresca,soda,non alcoholic
fresh,,,,,,,,,,,,,,,,,,,,,,fresh,health & nutrition,,,,,
fresh & natural easy to prepare,,,,,,,,,,,,,,,,,,,,,,fresh & natural easy to prepare,natural,,,,,
fresh and natural,,,,,,,,,,,,,,,,,,,,,,fresh and natural,natural,,,,,
fresh healthy,,,,,,,,,,,,,,,,,,,,,,fresh healthy,health & nutrition,,,,,
fresh limes,,,,,,,,,,,,,,,,,,,,,,,,,,fresh limes,juices,non alcoholic
freshjuice,,,,,,,,,,,,,,,,,,,,,,,,,,fresh juice,juices,non alcoholic
fresh juice,,,,,,,,,,,,,,,,,,,,,,,,,,fresh juice,juices,non alcoholic
friday,,,,,,,,,,,,,,,,,,weekday,weekday,,,,,,,,,
fried,,,,,,,,,,,,,,,,,,,,fried,textures,,,,,,,
fried potato sticks,fried potato sticks,salty snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
friendly,,,,,,,,,,friendly,affection/longing,positive,,,,,,,,,,,,,,,,
friend,,,,,,,,,,,,,,,friend,friend,small group,,,,,,,,,,,
friends,,,,,,,,,,,,,,,friends,friends,large group,,,,,,,,,,,
friends place,,,,,,,,,,,,,friends place,outside,,,,,,,,,,,,,,
fries,fries,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
fritas,fritas,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
fritex,fritex,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
fritos,fritos,salty snacks,light food,light food,salty snacks,packaged food,fritos,fritos,fritos,,,,,,,,,,,,,,,,,,,
froot loops,froot loops,wholesome snacks,light food,light food,wholesome snacks,packaged food,froot loops,froot loops,kelloggs,,,,,,,,,,,portable,portable,,,,,,,
froot loops bar,,,,,,,froot loops bar,froot loops,kelloggs,,,,,,,,,,,,,,,,,,,
froot loops pops,,,,,,,froot loops pops,froot loops,kelloggs,,,,,,,,,,,,,,,,,,,
frosty,,,,,,,,,,,,,,,,,,,,frosty,properties,,,,,,,
frozen,,,,,,,,,,,,,,,,,,,,frozen,properties,,,,,,,
frozen food,frozen food,frozen food,frozen food,,,packaged food,,,,,,,,,,,,,,,,,,,,,,
fruit,fruits,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
fruit nut bar,fruit nut bar,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
fruit salad,fruit salad,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
fruits,fruits,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
fruity,,,,,,,,,,,,,,,,,,,,fruity,flavors,,,,,,,
frustration,,,,,,,,,,frustration,dislike,negative,,,,,,,,,,,,,,,,
frutas secas,frutas secas,fruits,fruits,,,,,,,,,,,,,,,,,,,,,,,,,
fruto,fruto,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
fry,,,,,,,,,,,,,,,,,,,,fry,textures,,,,,,,
full,,,,,,,,,,full,satisfied,feel good,,,,,,,,,,,,,,,,
fun,,,,,,,,,,fun,happy,feel good,,,,,,,,,,,,,,,,
fun & social,,,,,,,,,,,,,,,,,,,,,,fun & social,social,,,,,
funny,,,,,,,,,,funny,happy,feel good,,,,,,,,,,,,,,,,
gal,,,,,,,,,,,,,,,gal,romantic partner,pair,,,,,,,,,,,
galinha,galinha,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
galleta,biscuits,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
galletas,biscuits,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
galletas saladas,pretzels,salty snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
gallo,gallo,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
gals,,,,,,,,,,,,,,,gals,friends,large group,,,,,,,,,,,
